timestamp,run_id,gpu_util_percent,mem_util_percent,mem_used_mb,mem_total_mb,temperature_c,power_w
2026-02-03T22:09:49.857149,test_multiple_configs,0.0,0.0,1.0,24576.0,21.0,4.45
2026-02-03T22:09:50.411691,test_multiple_configs,0.0,0.0,1.0,24576.0,21.0,4.42
2026-02-03T22:09:50.963838,test_multiple_configs,0.0,0.0,1.0,24576.0,21.0,3.76
2026-02-03T22:09:51.518722,test_multiple_configs,0.0,0.0,1.0,24576.0,21.0,3.74
2026-02-03T22:09:52.070122,test_multiple_configs,0.0,0.0,1.0,24576.0,21.0,3.96
2026-02-03T22:09:52.621011,test_multiple_configs,0.0,0.0,1.0,24576.0,21.0,3.85
2026-02-03T22:09:53.160935,test_multiple_configs,0.0,0.0,1.0,24576.0,21.0,4.0
2026-02-03T22:09:53.714873,test_multiple_configs,0.0,0.0,1.0,24576.0,21.0,4.28
2026-02-03T22:09:54.269621,test_multiple_configs,0.0,0.0,1.0,24576.0,21.0,3.95
2026-02-03T22:09:54.820885,test_multiple_configs,0.0,0.0,4.0,24576.0,21.0,7.48
2026-02-03T22:09:55.379198,test_multiple_configs,0.0,0.0,4.0,24576.0,21.0,3.76
2026-02-03T22:09:55.931420,test_multiple_configs,0.0,0.0,4.0,24576.0,21.0,3.7
2026-02-03T22:09:56.486576,test_multiple_configs,0.0,0.0,4.0,24576.0,21.0,4.26
2026-02-03T22:09:57.039944,test_multiple_configs,0.0,0.0,4.0,24576.0,21.0,4.14
2026-02-03T22:09:57.593593,test_multiple_configs,0.0,0.0,4.0,24576.0,21.0,3.65
2026-02-03T22:09:58.150202,test_multiple_configs,0.0,0.0,4.0,24576.0,21.0,3.81
2026-02-03T22:09:58.706018,test_multiple_configs,0.0,0.0,4.0,24576.0,21.0,4.09
2026-02-03T22:09:59.261875,test_multiple_configs,0.0,0.0,4.0,24576.0,21.0,4.16
2026-02-03T22:09:59.817869,test_multiple_configs,0.0,0.0,4.0,24576.0,21.0,3.74
2026-02-03T22:10:00.371578,test_multiple_configs,0.0,0.0,4.0,24576.0,21.0,3.8
2026-02-03T22:10:00.923481,test_multiple_configs,0.0,0.0,4.0,24576.0,21.0,4.41
2026-02-03T22:10:01.480340,test_multiple_configs,0.0,0.0,4.0,24576.0,21.0,4.2
2026-02-03T22:10:02.033982,test_multiple_configs,0.0,0.0,4.0,24576.0,21.0,4.15
2026-02-03T22:10:02.587395,test_multiple_configs,0.0,0.0,4.0,24576.0,21.0,3.87
2026-02-03T22:10:03.142724,test_multiple_configs,0.0,0.0,4.0,24576.0,21.0,3.99
2026-02-03T22:10:03.697059,test_multiple_configs,0.0,0.0,4.0,24576.0,21.0,3.98
2026-02-03T22:10:04.253079,test_multiple_configs,0.0,0.0,4.0,24576.0,21.0,4.18
2026-02-03T22:10:04.810445,test_multiple_configs,0.0,0.0,4.0,24576.0,21.0,3.73
2026-02-03T22:10:05.366435,test_multiple_configs,0.0,0.0,4.0,24576.0,21.0,3.71
2026-02-03T22:10:05.910025,test_multiple_configs,3.0,0.0,194.0,24576.0,22.0,52.94
2026-02-03T22:10:06.443402,test_multiple_configs,0.0,0.0,194.0,24576.0,22.0,53.01
2026-02-03T22:10:06.973433,test_multiple_configs,0.0,0.0,194.0,24576.0,22.0,53.02
